,price,brand,model,year,mileage,color,state
0,5350,dodge,mpv,2018,39590.0,silver,georgia
1,25000,ford,door,2014,64146.0,blue,virginia
2,27700,chevrolet,1500,2018,6654.0,red,florida
3,5700,dodge,mpv,2018,45561.0,white,texas
4,13350,gmc,door,2017,23525.0,gray,california
5,5250,ford,mpv,2017,63418.0,black,texas
6,12920,gmc,mpv,2017,39650.0,white,california
7,31900,chevrolet,1500,2018,22909.0,black,tennessee
8,20700,ford,door,2013,100757.0,black,virginia
9,12710,gmc,door,2017,25747.0,white,california
10,5210,ford,mpv,2017,35714.0,white,texas
11,12520,gmc,door,2017,30114.0,white,california
12,15000,chevrolet,door,2015,61578.0,black,ohio
13,6180,ford,mpv,2017,46010.0,blue,texas
14,20800,ford,door,2013,105510.0,silver,virginia
15,11900,gmc,door,2017,28040.0,silver,california
16,4190,ford,doors,2017,44174.0,white,texas
17,12710,gmc,door,2017,26364.0,silver,california
18,5330,ford,mpv,2017,37792.0,no_color,texas
19,11900,gmc,door,2017,27965.0,black,california
20,19200,chevrolet,1500,2018,2430.0,white,tennessee
21,12710,gmc,door,2017,30049.0,white,california
22,30500,chevrolet,1500,2018,30442.0,red,tennessee
23,6330,ford,mpv,2017,38123.0,red,texas
24,12520,gmc,door,2017,28972.0,black,california
25,5580,dodge,mpv,2017,46829.0,gray,texas
26,12710,gmc,mpv,2017,39886.0,red,california
27,7760,ford,mpv,2017,44794.0,gray,texas
28,12920,gmc,mpv,2017,39165.0,silver,california
29,13490,gmc,door,2017,27842.0,white,california
30,17800,chevrolet,door,2017,52435.0,black,florida
31,6650,ford,door,2017,29942.0,black,texas
32,12710,gmc,door,2017,32504.0,silver,california
33,18600,chevrolet,door,2017,35200.0,white,florida
34,4340,ford,door,2017,25602.0,silver,texas
35,12780,gmc,door,2017,31009.0,black,california
36,4430,ford,door,2017,31792.0,black,texas
37,12520,gmc,door,2017,30636.0,red,california
38,4140,ford,door,2017,36732.0,black,texas
39,12520,gmc,door,2017,31992.0,black,california
40,4640,ford,door,2017,36139.0,blue,texas
41,24000,ford,door,2016,84413.0,black,pennsylvania
